Item Name,Design Name,Code,New Arrivals,Best Sellers,Promo Items,Rate,Status,Usage unit,Unit,Size,Sub Collection,Collection,Thickness
DST 5260SM - EDL HPL 4'x8' | LIGHT ORCHID,DST 5260SM,LIGHT ORCHID,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 5370SM - EDL HPL 4'x8' | CHERRY,DST 5370SM,CHERRY,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 5380SM - EDL HPL 4'x8' | MATCHA,DST 5380SM,MATCHA,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 5570SM - EDL HPL 4'x8' | ASHLEY BLUE,DST 5570SM,ASHLEY BLUE,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 5660SM - EDL HPL 4'x8' | ANTIQUE ROSE,DST 5660SM,ANTIQUE ROSE,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 6420SM - EDL HPL 4'x8' | TERRACOTTA,DST 6420SM,TERRACOTTA,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 6570SM - EDL HPL 4'x8' | GINGER ALE,DST 6570SM,GINGER ALE,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 6600SM - EDL HPL 4'x8' | WHISPER GREY,DST 6600SM,WHISPER GREY,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 7080SM - EDL HPL 4'x8' | SOFT PETAL,DST 7080SM,SOFT PETAL,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSW 2106SMA - EDL HPL 1320x3050 | CLEAR MAPLE,DSW 2106SMA,CLEAR MAPLE,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 3861SMA - EDL HPL 1320x3050 | LIGHT MEDITERRANEAN,DSW 3861SMA,LIGHT MEDITERRANEAN,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 4289NTL - EDL HPL 1320x3050 | MEDITERRANEAN,DSW 4289NTL,MEDITERRANEAN,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 4451SMA - EDL HPL 1320x3050 | LORCA OAK,DSW 4451SMA,LORCA OAK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6225SMA - EDL HPL 1320x3050 | MEMPHIS CLASSIC,DSW 6225SMA,MEMPHIS CLASSIC,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6282FLW - EDL HPL 1320x3050 | COSMOPOLITAN,DSW 6282FLW,COSMOPOLITAN,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6289FLW - EDL HPL 1320x3050 | MAPUCHE BEIGE,DSW 6289FLW,MAPUCHE BEIGE,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6304FLW - EDL HPL 1320x3050 | ETNA OAK,DSW 6304FLW,ETNA OAK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6305SMA - EDL HPL 1320x3050 | SMART ASH LIGHT,DSW 6305SMA,SMART ASH LIGHT,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6306SMA - EDL HPL 1320x3050 | SMART ASH,DSW 6306SMA,SMART ASH,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6307FLW - EDL HPL 1320x3050 | SMART ASH DARK,DSW 6307FLW,SMART ASH DARK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6313FLW - EDL HPL 1320x3050 | EXQUISITE DARK,DSW 6313FLW,EXQUISITE DARK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6314FLW - EDL HPL 1320x3050 | EXQUISITE LIGHT,DSW 6314FLW,EXQUISITE LIGHT,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6315NTL - EDL HPL 1320x3050 | ELEGANCE BROWN,DSW 6315NTL,ELEGANCE BROWN,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6316NTL - EDL HPL 1320x3050 | ELEGANCE GREY,DSW 6316NTL,ELEGANCE GREY,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6317NTL - EDL HPL 1320x3050 | ELEGANCE NATURAL,DSW 6317NTL,ELEGANCE NATURAL,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6319FLW - EDL HPL 1320x3050 | SUPREME BLACK,DSW 6319FLW,SUPREME BLACK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6320FLW - EDL HPL 1320x3050 | SUPREME WHITE,DSW 6320FLW,SUPREME WHITE,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6321SMA - EDL HPL 1320x3050 | ENDLESS OAK NATURAL,DSW 6321SMA,ENDLESS OAK NATURAL,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 6348FLW - EDL HPL 1320x3050 | AURA MAPLE,DSW 6348FLW,AURA MAPLE,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Flow,Wood,0.8mm
DSW 6358SMA - EDL HPL 1320x3050 | ENDLESS OAK BLACK,DSW 6358SMA,ENDLESS OAK BLACK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DSW 9275SMA - EDL HPL 1320x3050 | AMUNDSEN OAK,DSW 9275SMA,AMUNDSEN OAK,TRUE,FALSE,FALSE,990000,Active,sht,Sheet,1320 x 3050 mm,Smart,Wood,0.8mm
DV 3346MT - EDL HPL 1300x3050 | MARMO CANOVA,DV 3346MT,MARMO CANOVA,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DV 3379UB - EDL HPL 1300x3050 | ATENA GRIGIO,DV 3379UB,ATENA GRIGIO,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DV 3451MT - EDL HPL 1300x3050 | BLACK KANDIA,DV 3451MT,BLACK KANDIA,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DWA 2855A - EDL HPL 4'x8' | LIGHT ASH,DWA 2855A,LIGHT ASH,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Ashwood,Wood,0.8mm
DWA 2856A - EDL HPL 4'x8' | DARK ASH,DWA 2856A,DARK ASH,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Ashwood,Wood,0.8mm
DWC 3642AT - EDL HPL 1300x3050 | LIGHT MACQUARIE MAPLE,DWC 3642AT,LIGHT MACQUARIE MAPLE,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3643AT - EDL HPL 1300x3050 | MACQUARIE MAPLE,DWC 3643AT,MACQUARIE MAPLE,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3644AT - EDL HPL 1300x3050 | GREY MACQUARIE MAPLE,DWC 3644AT,GREY MACQUARIE MAPLE,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3645AT - EDL HPL 1300x3050 | LIGHT ALBATROSS TEAK,DWC 3645AT,LIGHT ALBATROSS TEAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3646AT - EDL HPL 1300x3050 | ALBATROSS TEAK,DWC 3646AT,ALBATROSS TEAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3647AT - EDL HPL 1300x3050 | BROWN ALBATROSS TEAK,DWC 3647AT,BROWN ALBATROSS TEAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3650AT - EDL HPL 1300x3050 | LIGHT SHAGBARK HICKORY,DWC 3650AT,LIGHT SHAGBARK HICKORY,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3651AT - EDL HPL 1300x3050 | BROWN SHAGBARK HICKORY,DWC 3651AT,BROWN SHAGBARK HICKORY,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3652AT - EDL HPL 1300x3050 | GREY SHAGBARK HICKORY,DWC 3652AT,GREY SHAGBARK HICKORY,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3653AT - EDL HPL 1300x3050 | LIGHT BOLZANO ELM,DWC 3653AT,LIGHT BOLZANO ELM,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3655AT - EDL HPL 1300x3050 | BROWN BOLZANO ELM,DWC 3655AT,BROWN BOLZANO ELM,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3656AT - EDL HPL 1300x3050 | BOLZANO ELM,DWC 3656AT,BOLZANO ELM,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3657AT - EDL HPL 1300x3050 | CALIFORNIA TEAK,DWC 3657AT,CALIFORNIA TEAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3658AT - EDL HPL 1300x3050 | LIGHT RODEZ OAK,DWC 3658AT,LIGHT RODEZ OAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
DWC 3659AT - EDL HPL 1300x3050 | RODEZ OAK,DWC 3659AT,RODEZ OAK,FALSE,FALSE,FALSE,980000,Active,sht,Sheet,1300 x 3050 mm,Natural Matt,Wood,0.8mm
